Row Index,Title,Artist,Album,Source Context,Duration,Date,Popularity,Favorited,Has Lyrics,Artist Link,Album Link,Cover URL
48,Gimme Gimme (Club Mix),Kevin McKay,Gimme Gimme (feat. Bleech),House Afternoon,03:30,27/07/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/1361244,https://www.deezer.com/en/album/471570835,https://cdn-images.dzcdn.net/images/cover/c01f7665060fd15687b3cbbb5311fd9d/40x40-000000-80-0-0.jpg
49,Just Be Good To Me (Radio Edit),Earth N Days,Just Be Good To Me,House Afternoon,03:37,27/07/2022,By popularity: 5 / 10,false,true,https://www.deezer.com/en/artist/12179682,https://www.deezer.com/en/album/128462282,https://cdn-images.dzcdn.net/images/cover/4b1b3afc4517ca32b2ff6026cb55861b/40x40-000000-80-0-0.jpg
50,Stronger,Dombresky,Stronger,House Afternoon,02:54,27/07/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/9299302,https://www.deezer.com/en/album/132746042,https://cdn-images.dzcdn.net/images/cover/66fb9b5c5985699cb242bec4741a1464/40x40-000000-80-0-0.jpg
51,Dance and Chant,Yolanda Be Cool,Dance and Chant,House Afternoon,03:10,27/07/2022,By popularity: 2 / 10,false,true,https://www.deezer.com/en/artist/392204,https://www.deezer.com/en/album/78111452,https://cdn-images.dzcdn.net/images/cover/e6bc15b9d494f55f3a6578f24a3856fa/40x40-000000-80-0-0.jpg
52,Some People Say : Some People Say (Radio Edit),Semedo,Some People Say,House Afternoon,02:57,27/07/2022,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/4625610,https://www.deezer.com/en/album/12440514,https://cdn-images.dzcdn.net/images/cover/e9b2cf6d4f392487a737ad65cb1ba222/40x40-000000-80-0-0.jpg
53,What You Feel (Radio Edit),Earth N Days,What You Feel,House Afternoon,03:31,27/07/2022,By popularity: 4 / 10,false,true,https://www.deezer.com/en/artist/12179682,https://www.deezer.com/en/album/192754722,https://cdn-images.dzcdn.net/images/cover/97049d7a18e8dd9c4df5ac0c0aafb6b7/40x40-000000-80-0-0.jpg
54,On My Mind (Purple Disco Machine Remix),Diplo,On My Mind (Purple Disco Machine Remix),House Afternoon,04:23,27/07/2022,By popularity: 6 / 10,false,false,https://www.deezer.com/en/artist/1846,https://www.deezer.com/en/album/144864682,https://cdn-images.dzcdn.net/images/cover/806e6f69f4c1470dbecff5fda8baff67/40x40-000000-80-0-0.jpg
55,Your Love,Mercer,Your Love,House Afternoon,03:20,27/07/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/335085,https://www.deezer.com/en/album/85966472,https://cdn-images.dzcdn.net/images/cover/699ce1ee9ef4effdb4bfb18c718c5978/40x40-000000-80-0-0.jpg
56,Everything (Radio Edit),Earth N Days,Everything,House Afternoon,03:41,27/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/12179682,https://www.deezer.com/en/album/130366682,https://cdn-images.dzcdn.net/images/cover/f4dc049de04839a09475ad856c48082b/40x40-000000-80-0-0.jpg
57,Smiley Face,Duck Sauce,Smiley Face / Get to Steppin,House Afternoon,03:30,27/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/305579,https://www.deezer.com/en/album/189427672,https://cdn-images.dzcdn.net/images/cover/8ea0dace9bacd95eaf080556afd29643/40x40-000000-80-0-0.jpg
58,Feel My Needs,Weiss (UK),Feel My Needs,House Afternoon,03:28,27/07/2022,By popularity: 6 / 10,false,true,https://www.deezer.com/en/artist/5305397,https://www.deezer.com/en/album/61297932,https://cdn-images.dzcdn.net/images/cover/33de72c6c31ef0d47b907818d66bbd6d/40x40-000000-80-0-0.jpg
59,The One,Ferdinand Weber,The One,House Afternoon,03:07,27/07/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/6731971,https://www.deezer.com/en/album/98015862,https://cdn-images.dzcdn.net/images/cover/42a113f0ee20cbb1d3a15d52881e9ce5/40x40-000000-80-0-0.jpg
